ban1_1,ban1_2,ban1_3,ban1_4,ban1_5,ban2_1,ban2_2,ban2_3,ban2_4,ban2_5,date,enemy,patch,pick1_ad,pick1_jungle,pick1_mid,pick1_support,pick1_top,pick2_ad,pick2_jungle,pick2_mid,pick2_support,pick2_top,player_ad,player_jungle,player_mid,player_support,player_top,result,side,tournament,tournament_type
K'Sante,Skarner,Jax,Kai'Sa,Alistar,Senna,Rumble,Ashe,Kalista,Lucian,2024-06-21,Kwangdong Freecs,14.12,Ezreal,Sejuani,Corki,Leona,Gnar,Zeri,Maokai,Tristana,Rell,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Summer,Domestic
Vi,Skarner,Yone,Zeri,Ezreal,Senna,Kalista,Jax,Rumble,Varus,2024-06-19,Dplus KIA,14.12,Draven,Sejuani,Tristana,Ashe,Camille,Lucian,Nidalee,Corki,Nami,Twisted Fate,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Summer,Domestic
Vi,Skarner,Yone,Ezreal,Lucian,Senna,Twisted Fate,Kalista,Varus,Lee Sin,2024-06-19,Dplus KIA,14.12,Ashe,Sejuani,Corki,Renata Glasc,Rumble,Zeri,Nidalee,Tristana,Leona,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Summer,Domestic
Corki,Rumble,Zeri,Nautilus,Renata Glasc,Senna,Kalista,Ashe,Alistar,Lucian,2024-06-16,Gen.G,14.11,Jhin,Taliyah,Tristana,Rell,K'Sante,Ezreal,Nidalee,Yone,Leona,Skarner,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Summer,Domestic
Tristana,Rumble,Senna,Zeri,Nautilus,Ashe,Azir,Kalista,Alistar,Renata Glasc,2024-06-16,Gen.G,14.11,Varus,Sejuani,Taliyah,Rell,Twisted Fate,Ezreal,Nidalee,Corki,Leona,Skarner,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,LCK 2024 Summer,Domestic
Jax,Corki,Rumble,Nidalee,Vayne,Ashe,Skarner,Twisted Fate,Kennen,Viego,2024-06-14,Nongshim RedForce,14.11,Senna,Vi,Azir,Ornn,K'Sante,Ziggs,Sejuani,Tristana,Nautilus,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Summer,Domestic
Jax,Corki,Rumble,Nidalee,Maokai,Ashe,Skarner,Twisted Fate,Ornn,Camille,2024-06-14,Nongshim RedForce,14.11,Senna,Viego,Azir,Tahm Kench,Kennen,Ziggs,Sejuani,Tristana,Nautilus,Gnar,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Summer,Domestic
Ahri,Renata Glasc,Lucian,Vi,Kindred,Azir,Orianna,Ashe,Nidalee,Jax,2024-05-18,Bilibili Gaming,14.8,Varus,Viego,Taliyah,Nautilus,K'Sante,Senna,Xin Zhao,Neeko,Ornn,Camille,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Ahri,Taliyah,Kalista,Tristana,Nidalee,Azir,Orianna,Ashe,Jax,Camille,2024-05-18,Bilibili Gaming,14.8,Senna,Viego,Aurelion Sol,Ornn,K'Sante,Varus,Vi,Corki,Nautilus,Twisted Fate,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Ahri,Tristana,Taliyah,Vi,Neeko,Azir,Orianna,Ashe,Jax,Camille,2024-05-18,Bilibili Gaming,14.8,Kalista,Nidalee,Zac,Nautilus,Yasuo,Senna,Xin Zhao,Annie,Ornn,Twisted Fate,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Ahri,Taliyah,Tristana,Vi,Vayne,Azir,Orianna,Senna,LeBlanc,Twisted Fate,2024-05-18,Bilibili Gaming,14.8,Draven,Sejuani,Akali,Ashe,Camille,Varus,Wukong,Neeko,Kalista,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Ahri,Vi,Jax,Vayne,Camille,Azir,Orianna,Ashe,Nidalee,Corki,2024-05-18,Bilibili Gaming,14.8,Senna,Sejuani,Tristana,Nautilus,K'Sante,Kalista,Xin Zhao,Taliyah,Renata Glasc,Twisted Fate,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Rek'Sai,Zac,Poppy,Renata Glasc,K'Sante,Senna,Ashe,Azir,Vayne,Camille,2024-05-17,G2 Esports,14.8,Kalista,Vi,Taliyah,Nautilus,Rumble,Varus,Ivern,Tristana,Braum,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Rek'Sai,Zac,Tristana,Taliyah,Orianna,Senna,Ashe,Renata Glasc,Vayne,Twisted Fate,2024-05-17,G2 Esports,14.8,Varus,Poppy,Azir,Alistar,K'Sante,Draven,Viego,Aurelion Sol,Nautilus,Urgot,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Rek'Sai,Zac,Tristana,Nidalee,Lee Sin,Senna,Ashe,Lucian,K'Sante,Xin Zhao,2024-05-17,G2 Esports,14.8,Kalista,Sejuani,Orianna,Renata Glasc,Camille,Draven,Kha'Zix,LeBlanc,Poppy,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Tristana,Lucian,Nautilus,Xin Zhao,Vi,Azir,Taliyah,Ashe,Twisted Fate,Camille,2024-05-15,Team Liquid,14.8,Senna,Poppy,Orianna,Ornn,Vayne,Kalista,Lillia,Ziggs,Rell,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Lucian,Tristana,Senna,Vi,Poppy,Azir,Orianna,Ashe,Twisted Fate,Alistar,2024-05-15,Team Liquid,14.8,Varus,Sejuani,Corki,Rell,Vayne,Kalista,Rek'Sai,Taliyah,Nautilus,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Lucian,Tristana,Senna,Sejuani,Poppy,Azir,Orianna,Ashe,Twisted Fate,Vi,2024-05-15,Team Liquid,14.8,Varus,Jarvan IV,Ahri,Kalista,Vayne,Samira,Lee Sin,Taliyah,Nautilus,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Tristana,Nautilus,Lucian,Renata Glasc,Rell,Azir,Orianna,Ashe,Twisted Fate,Vayne,2024-05-15,Team Liquid,14.8,Senna,Poppy,Taliyah,Ornn,Camille,Kalista,Xin Zhao,Aurelion Sol,Alistar,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Ahri,Vi,Varus,Maokai,Sejuani,Azir,Orianna,Taliyah,Aurelion Sol,Hwei,2024-05-12,Bilibili Gaming,14.8,Kalista,Xin Zhao,Akali,Renata Glasc,Zac,Senna,Nidalee,Tristana,Nautilus,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,MSI 2024,International
Vi,Ahri,Nautilus,Sejuani,Jarvan IV,Azir,Orianna,Ashe,Xin Zhao,Aurelion Sol,2024-05-12,Bilibili Gaming,14.8,Senna,Lee Sin,Veigar,Tahm Kench,Twisted Fate,Lucian,Maokai,Taliyah,Nami,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Vi,Ahri,Nautilus,Neeko,Tristana,Azir,Orianna,Ashe,Twisted Fate,Vayne,2024-05-12,Bilibili Gaming,14.8,Senna,Xin Zhao,Taliyah,Tahm Kench,Zac,Kalista,Wukong,Corki,Renata Glasc,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Vi,Ahri,Nautilus,Jarvan IV,Wukong,Azir,Orianna,Ashe,Twisted Fate,Xin Zhao,2024-05-12,Bilibili Gaming,14.8,Senna,Viego,Corki,Tahm Kench,K'Sante,Kalista,Sejuani,Taliyah,Renata Glasc,Vayne,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Draven,Lucian,Orianna,Nautilus,Rek'Sai,Senna,Ashe,Azir,Jarvan IV,Vi,2024-05-10,G2 Esports,14.8,Varus,Lee Sin,Ahri,Kalista,K'Sante,Jinx,Bel'Veth,Taliyah,Poppy,Zac,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Draven,Zac,Kalista,Twisted Fate,Lulu,Senna,Lucian,Ashe,Rumble,Blitzcrank,2024-05-10,G2 Esports,14.8,Varus,Xin Zhao,Azir,Bard,K'Sante,Kog'Maw,Rek'Sai,Orianna,Renata Glasc,Poppy,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Draven,Zac,Rek'Sai,Bel'Veth,Nautilus,Senna,Lucian,Ashe,Rumble,Renata Glasc,2024-05-10,G2 Esports,14.8,Kalista,Jarvan IV,Aurelion Sol,Camille,Twisted Fate,Varus,Vi,Orianna,Poppy,Yasuo,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,MSI 2024,International
Draven,Lucian,Nautilus,Camille,Rell,Senna,Ashe,Rumble,Vayne,Poppy,2024-05-10,G2 Esports,14.8,Varus,Viego,Taliyah,Neeko,Ornn,Kalista,Rek'Sai,Orianna,Leona,Zac,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,MSI 2024,International
Draven,Lucian,Neeko,Zac,Nautilus,Senna,Ashe,Rumble,Renata Glasc,Taliyah,2024-05-10,G2 Esports,14.8,Varus,Xin Zhao,Azir,Alistar,Twisted Fate,Kalista,Lillia,Tristana,Rell,Yasuo,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Senna,Orianna,Lucian,Viego,Xin Zhao,Vi,Twisted Fate,Renata Glasc,Rumble,Rell,2024-05-03,FlyQuest,14.8,Kalista,Sejuani,Taliyah,Ashe,K'Sante,Varus,Wukong,Azir,Nautilus,Gragas,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Nautilus,Urgot,Kalista,Lee Sin,Udyr,Vi,Twisted Fate,K'Sante,Jarvan IV,Xin Zhao,2024-05-03,FlyQuest,14.8,Senna,Viego,Azir,Tahm Kench,Ornn,Varus,Graves,Orianna,Renata Glasc,Zac,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Vi,Sejuani,Neeko,Taliyah,Udyr,Senna,Twisted Fate,Varus,Nocturne,Jarvan IV,2024-05-01,Estral Esports,14.8,Kalista,Viego,Orianna,Rumble,K'Sante,Draven,Lee Sin,Ahri,Ashe,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,MSI 2024,International
Vi,Nautilus,Sejuani,Xin Zhao,Rumble,Senna,Twisted Fate,Ashe,Azir,Renata Glasc,2024-05-01,Estral Esports,14.8,Kalista,Lee Sin,Orianna,Neeko,K'Sante,Draven,Volibear,Ahri,Rell,Yone,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,MSI 2024,International
Nautilus,Twisted Fate,Lulu,Jayce,Kha'Zix,Senna,Kalista,Ashe,Vayne,Rell,2024-04-14,Gen.G,14.6,Lucian,Xin Zhao,Orianna,Nami,Zac,Zeri,Poppy,Corki,Annie,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring Playoffs,Domestic
Senna,Twisted Fate,Kalista,Jayce,Rumble,Vi,Varus,Orianna,Poppy,Vayne,2024-04-14,Gen.G,14.6,Aphelios,Xin Zhao,Azir,Lulu,Gwen,Lucian,Kha'Zix,Aurelion Sol,Nami,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,LCK 2024 Spring Playoffs,Domestic
Senna,Twisted Fate,Kalista,Rumble,Jayce,Vi,Varus,Orianna,Vayne,K'Sante,2024-04-14,Gen.G,14.6,Lucian,Xin Zhao,Taliyah,Nami,Zac,Aphelios,Sejuani,Azir,Lulu,Rek'Sai,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring Playoffs,Domestic
Nautilus,Twisted Fate,Zeri,Rumble,Jayce,Senna,Orianna,Ashe,Vi,Lee Sin,2024-04-14,Gen.G,14.6,Kalista,Xin Zhao,Azir,Neeko,K'Sante,Varus,Rell,Aurelion Sol,Annie,Rek'Sai,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring Playoffs,Domestic
Senna,Twisted Fate,Taliyah,Jayce,Xin Zhao,Vi,Varus,Orianna,Renata Glasc,Alistar,2024-04-14,Gen.G,14.6,Draven,Maokai,Azir,Poppy,Aatrox,Kalista,Viego,Corki,Nautilus,Rumble,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,LCK 2024 Spring Playoffs,Domestic
Maokai,Senna,Vi,Rakan,Alistar,Orianna,Kalista,Ashe,Twisted Fate,Zac,2024-04-13,Hanwha Life Esports,14.6,Varus,Xin Zhao,Taliyah,Nautilus,Vayne,Zeri,Nocturne,Azir,Rell,Rek'Sai,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring Playoffs,Domestic
Maokai,Zeri,Nautilus,Taliyah,Twisted Fate,Orianna,Ashe,Tahm Kench,Vi,Xin Zhao,2024-04-13,Hanwha Life Esports,14.6,Senna,Viego,Azir,Ornn,K'Sante,Jinx,Sejuani,Yone,Thresh,Gwen,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring Playoffs,Domestic
Maokai,Zeri,Nautilus,Rakan,Jinx,Orianna,Ashe,Tahm Kench,Xin Zhao,Poppy,2024-04-13,Hanwha Life Esports,14.6,Senna,Viego,Corki,Sejuani,Zac,Varus,Vi,Azir,Rell,Rek'Sai,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring Playoffs,Domestic
Maokai,Senna,Rek'Sai,Jax,Nautilus,Orianna,Kalista,Lucian,Xayah,Renata Glasc,2024-04-13,Hanwha Life Esports,14.6,Zeri,Vi,Taliyah,Rakan,Twisted Fate,Varus,Sejuani,Yone,Rell,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,LCK 2024 Spring Playoffs,Domestic
Vi,Rek'Sai,Neeko,Taliyah,Veigar,Orianna,Varus,Senna,Draven,Caitlyn,2024-04-07,Dplus KIA,14.6,Ashe,Poppy,Azir,Renata Glasc,Twisted Fate,Kalista,Lee Sin,Ahri,Rell,Rumble,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring Playoffs,Domestic
Vi,Rek'Sai,Tahm Kench,Taliyah,Lee Sin,Orianna,Twisted Fate,Varus,Aatrox,Gnar,2024-04-07,Dplus KIA,14.6,Senna,Xin Zhao,Azir,Sejuani,Vayne,Zeri,Viego,Veigar,Nautilus,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring Playoffs,Domestic
Vi,Rek'Sai,Zeri,Azir,Taliyah,Senna,Ashe,Rumble,Rell,Nocturne,2024-04-07,Dplus KIA,14.6,Kalista,Xin Zhao,Orianna,Camille,Twisted Fate,Varus,Lee Sin,Diana,Neeko,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring Playoffs,Domestic
Maokai,Vi,Senna,Twisted Fate,Poppy,Orianna,Ashe,Neeko,Azir,Renata Glasc,2024-04-04,Hanwha Life Esports,14.6,Kalista,Jax,Ahri,Rumble,Rek'Sai,Varus,Xin Zhao,Taliyah,Nautilus,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring Playoffs,Domestic
Maokai,Vi,Jinx,Rek'Sai,Yone,Orianna,Ashe,Tahm Kench,Taliyah,Ornn,2024-04-04,Hanwha Life Esports,14.6,Senna,Lee Sin,Corki,Sion,Twisted Fate,Zeri,Sejuani,Azir,Nautilus,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring Playoffs,Domestic
Maokai,Vi,Poppy,Jayce,Jax,Orianna,Ashe,Tahm Kench,Taliyah,Lee Sin,2024-04-04,Hanwha Life Esports,14.6,Jinx,Rell,Corki,Thresh,Twisted Fate,Senna,Xin Zhao,Azir,Nautilus,Rek'Sai,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring Playoffs,Domestic
Vi,Senna,Kalista,Jax,Taliyah,Ashe,Varus,Orianna,K'Sante,Tristana,2024-03-23,DRX,14.5,Aphelios,Maokai,Corki,Lulu,Twisted Fate,Lucian,Rell,Ahri,Nami,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Vi,Senna,Kalista,Lulu,Milio,Ashe,Varus,Orianna,Corki,Taliyah,2024-03-23,DRX,14.5,Lucian,Rell,Hwei,Nami,Twisted Fate,Xayah,Maokai,Tristana,Rakan,Renekton,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Vi,Maokai,Senna,Lucian,Rakan,Orianna,Ashe,Kalista,Nautilus,Jayce,2024-03-20,Nongshim RedForce,14.5,Varus,Sejuani,Taliyah,Rumble,Gnar,Smolder,Lee Sin,Karma,Milio,Udyr,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Vi,Maokai,Nautilus,Hwei,Rell,Varus,Aatrox,Caitlyn,Nocturne,Jayce,2024-03-20,Nongshim RedForce,14.5,Senna,Lee Sin,Orianna,Tahm Kench,Twisted Fate,Kalista,Sejuani,Tristana,Renata Glasc,Udyr,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Senna,Vi,Varus,Rakan,Renata Glasc,Orianna,Lucian,Kalista,Caitlyn,Ashe,2024-03-15,Hanwha Life Esports,14.4,Zeri,Lee Sin,Ahri,Nautilus,Aatrox,Smolder,Maokai,Taliyah,Alistar,Jayce,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,LCK 2024 Spring,Domestic
Maokai,Vi,Sejuani,Jayce,Nautilus,Ashe,Orianna,Senna,Nocturne,Poppy,2024-03-15,Hanwha Life Esports,14.4,Kalista,Xin Zhao,Taliyah,Neeko,Aatrox,Varus,Lee Sin,Ahri,Rakan,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Maokai,Vi,Sejuani,Alistar,Nautilus,Ashe,Orianna,Senna,Neeko,Renata Glasc,2024-03-15,Hanwha Life Esports,14.4,Kalista,Lee Sin,Annie,Bard,Aatrox,Varus,Poppy,Ahri,Rell,Jayce,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring,Domestic
Senna,Vi,Karma,K'Sante,Renekton,Orianna,Nocturne,Ashe,Draven,Hwei,2024-03-13,Dplus KIA,14.4,Caitlyn,Rell,Ahri,Nami,Aatrox,Lucian,Lee Sin,Annie,Sona,Gnar,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Senna,Vi,Sejuani,Lee Sin,K'Sante,Orianna,Corki,Ashe,Rell,Ahri,2024-03-13,Dplus KIA,14.4,Lucian,Nocturne,Taliyah,Nami,Aatrox,Smolder,Maokai,Karma,Milio,Renekton,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Nautilus,Zeri,Aphelios,K'Sante,Jayce,Orianna,Senna,Ashe,Aatrox,Gragas,2024-03-09,Gen.G,14.4,Lucian,Poppy,Taliyah,Nami,Tristana,Kalista,Rell,Ahri,Renata Glasc,Twisted Fate,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring,Domestic
Nautilus,Zeri,Sejuani,Gragas,Taliyah,Orianna,Senna,Ashe,Vi,Neeko,2024-03-09,Gen.G,14.4,Lucian,Jarvan IV,LeBlanc,Nami,Jayce,Aphelios,Rell,Corki,Lulu,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Blue,LCK 2024 Spring,Domestic
Nautilus,K'Sante,Kalista,Jax,Gwen,Orianna,Ashe,Jayce,Ahri,Nocturne,2024-03-07,Kwangdong Freecs,14.4,Senna,Vi,Taliyah,Tahm Kench,Aatrox,Smolder,Volibear,Hwei,Alistar,Gnar,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Senna,Nautilus,Draven,K'Sante,Lee Sin,Orianna,Jayce,Lucian,Jarvan IV,Ahri,2024-03-07,Kwangdong Freecs,14.4,Varus,Nocturne,Taliyah,Kalista,Aatrox,Jhin,Sejuani,Hwei,Ashe,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Lee Sin,Nautilus,Senna,Rakan,Zeri,Kalista,Ashe,Varus,Corki,Orianna,2024-03-02,OKSavingsBank BRION,14.3,Lucian,Vi,Taliyah,Nami,Aatrox,Sivir,Sejuani,Azir,Yuumi,K'Sante,Gumayusi,Guwon,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Nautilus,Lee Sin,Sejuani,K'Sante,Milio,Ashe,Kalista,Orianna,Corki,Hwei,2024-03-02,OKSavingsBank BRION,14.3,Senna,Viego,Taliyah,Tahm Kench,Aatrox,Smolder,Xin Zhao,Azir,Maokai,Udyr,Gumayusi,Guwon,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Senna,Nautilus,Rakan,Twisted Fate,Udyr,Ashe,Aatrox,Lucian,Renata Glasc,Vi,2024-02-28,FearX,14.3,Kalista,Jarvan IV,Orianna,Hwei,K'Sante,Varus,Nocturne,Azir,Maokai,Zac,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Lee Sin,Nautilus,Milio,Varus,Xayah,Aatrox,Ashe,Lucian,Gnar,Poppy,2024-02-28,FearX,14.3,Senna,Viego,Corki,Tahm Kench,Twisted Fate,Tristana,Sejuani,Azir,Rakan,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Senna,Taliyah,Udyr,Lee Sin,Viego,Aatrox,Ashe,Kalista,Zeri,Lucian,2024-02-24,KT Rolster,14.3,Smolder,Vi,Orianna,Alistar,K'Sante,Varus,Wukong,Azir,Nautilus,Gnar,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Taliyah,Viego,Azir,K'Sante,Lee Sin,Orianna,Ashe,Hwei,Rell,Twisted Fate,2024-02-24,KT Rolster,14.3,Senna,Poppy,Corki,Nautilus,Aatrox,Kalista,Xin Zhao,Karma,Renata Glasc,Udyr,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Twisted Fate,Smolder,Zeri,Udyr,Viego,Ashe,Aatrox,Orianna,Gnar,Rumble,2024-02-21,Nongshim RedForce,14.3,Senna,Nocturne,Hwei,Tahm Kench,K'Sante,Varus,Vi,Taliyah,Nautilus,Poppy,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Senna,Lucian,Nautilus,K'Sante,Yuumi,Aatrox,Orianna,Ashe,Gnar,Camille,2024-02-21,Nongshim RedForce,14.3,Twisted Fate,Rell,Karma,Milio,Yone,Smolder,Vi,Taliyah,Rakan,Udyr,Gumayusi,Oner,Faker,Keria,Zeus,Loss,Red,LCK 2024 Spring,Domestic
K'Sante,Twisted Fate,Smolder,Viego,Vi,Ashe,Aatrox,Orianna,Rumble,Tahm Kench,2024-02-21,Nongshim RedForce,14.3,Senna,Lee Sin,Hwei,Ornn,Gnar,Zeri,Sejuani,Taliyah,Nautilus,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Senna,Nautilus,Lucian,Jarvan IV,Rakan,Poppy,Ashe,Caitlyn,Renata Glasc,Rell,2024-02-18,FearX,14.2,Varus,Nocturne,Orianna,Neeko,Aatrox,Kalista,Lee Sin,Azir,Alistar,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Senna,Nautilus,Lucian,Jarvan IV,Viego,Poppy,Ashe,Caitlyn,Hwei,Zyra,2024-02-18,FearX,14.2,Varus,Rell,Orianna,Ezreal,Aatrox,Kalista,Lee Sin,Karma,Renata Glasc,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Lucian,Senna,Kalista,Lee Sin,Viego,Ashe,Neeko,Hwei,Nautilus,Gnar,2024-02-15,Dplus KIA,14.2,Varus,Rell,Orianna,Tahm Kench,Aatrox,Xayah,Vi,Karma,Rakan,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Tristana,Senna,Karma,Taliyah,Twisted Fate,Orianna,Lucian,Neeko,Rell,Corki,2024-02-15,Dplus KIA,14.2,Kalista,Poppy,Azir,Ashe,K'Sante,Varus,Sejuani,Akali,Pyke,Gnar,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Maokai,Nautilus,Orianna,Aatrox,Sejuani,Corki,Lucian,Kalista,Ornn,Nilah,2024-02-03,OKSavingsBank BRION,14.1,Senna,Vi,Taliyah,Sion,Zac,Varus,Gragas,Tristana,Rell,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Maokai,Nautilus,Lee Sin,Vi,Viego,Corki,Lucian,Kalista,Rell,Nocturne,2024-02-03,OKSavingsBank BRION,14.1,Caitlyn,Poppy,Orianna,Lux,K'Sante,Senna,Jarvan IV,Azir,Ornn,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Maokai,Lucian,Nautilus,Sejuani,Poppy,Ashe,Kalista,Orianna,Nilah,Nocturne,2024-02-01,DRX,14.1,Senna,Viego,Neeko,Ornn,Aatrox,Xayah,Rell,Corki,Rakan,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Maokai,Kalista,Senna,Sejuani,Udyr,Ashe,Varus,Corki,Nocturne,Jarvan IV,2024-02-01,DRX,14.1,Lucian,Vi,Orianna,Nami,Aatrox,Aphelios,Rell,Azir,Milio,Jax,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
Maokai,Sejuani,Rakan,Senna,Ezreal,Nocturne,Kalista,Lucian,Ashe,Aatrox,2024-01-28,Hanwha Life Esports,14.1,Varus,Rell,Orianna,Pyke,Yone,Aphelios,Vi,Corki,Milio,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Maokai,Vi,Sejuani,Udyr,K'Sante,Orianna,Varus,Lucian,Renata Glasc,Rumble,2024-01-28,Hanwha Life Esports,14.1,Kalista,Nocturne,Neeko,Ashe,Yone,Xayah,Poppy,Corki,Rakan,Aatrox,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Senna,Kalista,Taliyah,Udyr,Jax,Vi,Corki,Ashe,Nocturne,Jarvan IV,2024-01-26,KT Rolster,14.1,Lucian,Rell,Orianna,Nami,Aatrox,Aphelios,Xin Zhao,Azir,Milio,K'Sante,Gumayusi,Oner,Faker,Keria,Zeus,Win,Red,LCK 2024 Spring,Domestic
Aphelios,Varus,Taliyah,Neeko,Orianna,Lucian,Kalista,Senna,Rell,Jarvan IV,2024-01-26,KT Rolster,14.1,Jinx,Poppy,Corki,Tahm Kench,K'Sante,Xayah,Vi,Akali,Rakan,Gwen,Gumayusi,Oner,Faker,Keria,Zeus,Win,Blue,LCK 2024 Spring,Domestic
